"filename", "language", "JavaScript", "JSON", "Docker", "Ignore", "TypeScript", "Markdown", "JSON with Comments", "YAML", "TypeScript JSX", "PostCSS", "Properties", "HTML", "comment", "blank", "total"
"d:\Work\React\steelworks-react-ui\src\entities\library\forms\schema.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Work\React\steelworks-react-ui\src\entities\library\mocks\mock.ts", "TypeScript", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 2, 99
"d:\Work\React\steelworks-react-ui\src\entities\library\routes.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"d:\Work\React\steelworks-react-ui\src\entities\library\services\keys.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Work\React\steelworks-react-ui\src\entities\library\services\service.mock.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\Work\React\steelworks-react-ui\src\entities\library\services\service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Work\React\steelworks-react-ui\src\entities\library\types\base.model.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Work\React\steelworks-react-ui\src\entities\library\types\request.dto.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Work\React\steelworks-react-ui\src\entities\library\types\response.dto.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\Work\React\steelworks-react-ui\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 10, 13, 92
"d:\Work\React\steelworks-react-ui\src\init.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Work\React\steelworks-react-ui\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
