Date : 2025-06-25 15:49:57
Directory : d:\Work\React\steelworks-react-ui
Total : 286 files,  20999 codes, 500 comments, 1605 blanks, all 23104 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\mocks\mock.ts                      | TypeScript         |         76 |          0 |          9 |         85 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\routes.ts                          | TypeScript         |         45 |          0 |          3 |         48 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\services\keys.ts                   | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\services\service.mock.ts           | TypeScript         |         52 |          0 |          7 |         59 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\services\service.ts                | TypeScript         |         54 |          2 |          6 |         62 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\types\base.model.ts                | TypeScript         |          9 |          0 |          2 |         11 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\types\gender.ts                    | TypeScript         |          7 |          0 |          3 |         10 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\types\request.dto.ts               | TypeScript         |         28 |          0 |          5 |         33 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\types\response.dto.ts              | TypeScript         |         53 |          0 |         12 |         65 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\forms\form.tsx                | TypeScript JSX     |        100 |          0 |         12 |        112 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\forms\schema.ts               | TypeScript         |          7 |          0 |          3 |         10 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\mocks\mock.ts                 | TypeScript         |        119 |          0 |          2 |        121 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\routes.ts                     | TypeScript         |         45 |          0 |          3 |         48 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\services\keys.ts              | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\services\service.mock.ts      | TypeScript         |         36 |          0 |          7 |         43 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\services\service.ts           | TypeScript         |         55 |          2 |          6 |         63 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\types\base.model.ts           | TypeScript         |          4 |          0 |          1 |          5 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\types\request.dto.ts          | TypeScript         |          5 |          0 |          3 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\permissions\types\response.dto.ts         | TypeScript         |         23 |          0 |          7 |         30 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\forms\form.tsx                  | TypeScript JSX     |         57 |          0 |          9 |         66 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\forms\schema.ts                 | TypeScript         |          6 |          0 |          3 |          9 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\mocks\mock.ts                   | TypeScript         |         73 |          0 |          2 |         75 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\routes.ts                       | TypeScript         |         45 |          0 |          3 |         48 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\services\keys.ts                | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\services\service.mock.ts        | TypeScript         |         31 |          0 |          7 |         38 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\services\service.ts             | TypeScript         |         54 |          2 |          6 |         62 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\types\base.model.ts             | TypeScript         |          4 |          0 |          1 |          5 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\types\request.dto.ts            | TypeScript         |          3 |          0 |          3 |          6 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\positions\types\response.dto.ts           | TypeScript         |         13 |          0 |          6 |         19 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\forms\form.tsx                      | TypeScript JSX     |         98 |          3 |         12 |        113 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\forms\schema.ts                     | TypeScript         |          7 |          0 |          3 |         10 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\mocks\mock.ts                       | TypeScript         |        141 |          0 |          2 |        143 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\routes.ts                           | TypeScript         |         45 |          0 |          3 |         48 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\services\keys.ts                    | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\services\service.mock.ts            | TypeScript         |         28 |          0 |          7 |         35 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\services\service.ts                 | TypeScript         |         51 |          2 |          6 |         59 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\types\base.model.ts                 | TypeScript         |          4 |          0 |          1 |          5 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\types\request.dto.ts                | TypeScript         |          5 |          0 |          3 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\roles\types\response.dto.ts               | TypeScript         |         20 |          0 |          6 |         26 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\forms\form.tsx                      | TypeScript JSX     |        202 |          4 |         20 |        226 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\forms\schema.ts                     | TypeScript         |         15 |          0 |          4 |         19 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\mocks\mock.ts                       | TypeScript         |        153 |         54 |          2 |        209 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\routes.ts                           | TypeScript         |         45 |          0 |          3 |         48 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\services\keys.ts                    | TypeScript         |          6 |          0 |          2 |          8 |
